"5001","1001","Deposit","150000.00","2025-01-05","Salary"
"5002","1001","Withdrawal","50000.00","2025-01-12","ATM Withdrawal"
"5003","1002","Deposit","100000.00","2025-01-07","Salary"
"5004","1002","Payment","35000.00","2025-01-15","Utility Bill"
"5005","1003","Deposit","500000.00","2025-01-10","Business Revenue"
"5006","1003","Transfer","120000.00","2025-01-18","Funds Transfer"
"5007","1004","Deposit","250000.00","2025-01-04","Salary"
"5008","1004","Withdrawal","70000.00","2025-01-20","ATM Withdrawal"
"5009","1005","Deposit","180000.00","2025-01-08","Salary"
"5010","1005","Payment","45000.00","2025-01-22","Online Purchase"
"5011","1006","Deposit","750000.00","2025-01-03","Business Revenue"
"5012","1006","Transfer","200000.00","2025-01-14","Supplier Payment"
"5013","1007","Deposit","300000.00","2025-01-11","Business Income"
"5014","1007","Withdrawal","80000.00","2025-01-25","Cash Withdrawal"
"5015","1008","Deposit","120000.00","2025-01-09","Salary"
"5016","1008","Payment","30000.00","2025-01-19","Utility Bill"
"5017","1009","Deposit","900000.00","2025-01-02","Business Revenue"
"5018","1009","Transfer","250000.00","2025-01-16","Funds Transfer"
"5019","1010","Deposit","220000.00","2025-01-06","Salary"
"5020","1010","Withdrawal","60000.00","2025-01-21","ATM Withdrawal"
"5021","1011","Deposit","180000.00","2025-01-05","Salary"
"5022","1011","Payment","40000.00","2025-01-17","Utility Bill"
"5023","1012","Deposit","150000.00","2025-01-08","Salary"
"5024","1012","Withdrawal","50000.00","2025-01-23","ATM Withdrawal"
"5025","1013","Deposit","1200000.00","2025-01-03","Business Revenue"
"5026","1013","Transfer","400000.00","2025-01-13","Supplier Payment"
"5027","1014","Deposit","130000.00","2025-01-10","Salary"
"5028","1014","Payment","25000.00","2025-01-20","Utility Bill"
"5029","1015","Deposit","200000.00","2025-01-04","Salary"
"5030","1015","Withdrawal","60000.00","2025-01-24","ATM Withdrawal"
"5031","1016","Deposit","350000.00","2025-01-06","Business Income"
"5032","1016","Transfer","100000.00","2025-01-15","Funds Transfer"
"5033","1017","Deposit","90000.00","2025-01-09","Salary"
"5034","1017","Payment","20000.00","2025-01-18","Online Purchase"
"5035","1018","Deposit","160000.00","2025-01-02","Salary"
"5036","1018","Withdrawal","45000.00","2025-01-26","ATM Withdrawal"
"5037","1019","Deposit","950000.00","2025-01-07","Business Revenue"
"5038","1019","Transfer","300000.00","2025-01-22","Supplier Payment"
"5039","1020","Deposit","80000.00","2025-01-11","Salary"
"5040","1020","Payment","15000.00","2025-01-19","Utility Bill"
"5041","1021","Deposit","450000.00","2025-01-05","Business Income"
"5042","1021","Withdrawal","100000.00","2025-01-16","Cash Withdrawal"
"5043","1022","Deposit","170000.00","2025-01-08","Salary"
"5044","1022","Payment","35000.00","2025-01-21","Online Purchase"
"5045","1023","Deposit","400000.00","2025-01-03","Business Income"
"5046","1023","Transfer","120000.00","2025-01-17","Funds Transfer"
"5047","1024","Deposit","100000.00","2025-01-10","Salary"
"5048","1024","Withdrawal","30000.00","2025-01-23","ATM Withdrawal"
"5049","1025","Deposit","500000.00","2025-01-04","Business Revenue"
"5050","1025","Payment","90000.00","2025-01-20","Utility Bill"
"5051","1026","Deposit","1500000.00","2025-01-02","Business Revenue"
"5052","1026","Transfer","500000.00","2025-01-15","Supplier Payment"
"5053","1027","Deposit","200000.00","2025-01-06","Salary"
"5054","1027","Withdrawal","50000.00","2025-01-18","ATM Withdrawal"
"5055","1028","Deposit","350000.00","2025-01-09","Business Income"
"5056","1028","Payment","70000.00","2025-01-24","Utility Bill"
"5057","1029","Deposit","160000.00","2025-01-05","Salary"
"5058","1029","Withdrawal","40000.00","2025-01-22","ATM Withdrawal"
"5059","1030","Deposit","180000.00","2025-01-07","Salary"
"5060","1030","Payment","30000.00","2025-01-19","Online Purchase"
"5061","1031","Deposit","600000.00","2025-01-03","Business Revenue"
"5062","1031","Transfer","180000.00","2025-01-14","Supplier Payment"
"5063","1032","Deposit","100000.00","2025-01-08","Salary"
"5064","1032","Withdrawal","25000.00","2025-01-20","ATM Withdrawal"
"5065","1033","Deposit","400000.00","2025-01-06","Business Income"
"5066","1033","Payment","60000.00","2025-01-17","Utility Bill"
"5067","1034","Deposit","180000.00","2025-01-04","Salary"
"5068","1034","Withdrawal","50000.00","2025-01-23","ATM Withdrawal"
"5069","1035","Deposit","1800000.00","2025-01-02","Business Revenue"
"5070","1035","Transfer","650000.00","2025-01-16","Supplier Payment"
"5071","1036","Deposit","250000.00","2025-01-05","Salary"
"5072","1036","Payment","50000.00","2025-01-18","Utility Bill"
"5073","1037","Deposit","140000.00","2025-01-09","Salary"
"5074","1037","Withdrawal","40000.00","2025-01-21","ATM Withdrawal"
"5075","1038","Deposit","150000.00","2025-01-07","Salary"
"5076","1038","Payment","30000.00","2025-01-19","Online Purchase"
"5077","1039","Deposit","1100000.00","2025-01-03","Business Revenue"
"5078","1039","Transfer","350000.00","2025-01-15","Supplier Payment"
"5079","1040","Deposit","220000.00","2025-01-06","Salary"
"5080","1040","Withdrawal","50000.00","2025-01-22","ATM Withdrawal"
